start	end	text
491640	495080	but in my opinion, also for people to implement.
495080	496800	And the reason is that we are currently
496800	499800	in a worldwide mental health crisis.
499800	501440	And while we could debate the reason
501440	504000	why we are in a worldwide mental health crisis,
504000	507760	it's very, very clear that mood disorders
507760	509840	and challenges with mental health abound.
509840	511600	And of course, there are many different therapies
511600	514160	for the treatment of mood disorders and mental health,
514160	516240	everything from talk therapy with a psychologist
516240	519640	or a psychiatrist or social worker,
519640	521040	prescription drug treatments,
521040	523680	their nutritional approaches, somatic approaches.
523680	525680	And I want to be clear that I do believe
525680	528040	that there's value in all of these approaches.
528040	531600	What tends to matter in terms of what sorts of tools
531600	536480	and approaches one adopts includes both access,
536480	537720	so whether or not people have access
537720	538680	to these types of therapies,
538680	540920	whether or not they can afford them on a consistent basis,
540920	543160	and also, of course, the severity of the mood
543160	544640	or mental health disorder.
544640	546200	And I'd be remiss, of course,
546200	547400	if I didn't make the statement,
547400	549160	and I don't say this just to protect me,
549160	550880	I also say this to protect all of you
550880	552160	and those that you know,
552160	555000	that if you are concerned about yourself or somebody else
555000	558160	having a serious mood or mental health disorder,
558160	560880	please do seek out help from a licensed clinical psychologist
560880	563320	or psychiatrist or other healthcare professional
563320	566120	who's qualified to help you in that regard.
566120	567920	With that said, we can now have a discussion
567920	570000	about tools and protocols for enhancing mood
570000	572600	and mental health that truly apply to everybody,
572600	574360	regardless of age.
574360	577120	To start off, I wanna talk about a fundamental aspect
577120	579720	of mood and mental health enhancement
579720	581920	that was discussed both in the guest episode
581920	583520	with Dr. Lisa Feldman Barrett,
583520	586640	as well as in the guest series with Dr. Paul Conti.
586640	589880	And that has to do with what Dr. Paul Conti referred to
589880	594400	as the first principles of self-care or mental health.
594400	596400	The first principles of self-care include,
596400	597920	but are not limited to,
597920	600640	taking excellent care of one's biology,
600640	603560	which of course includes both the mind and the body.
603560	606680	And in order to make this very simple and actionable,
606680	610480	I've distilled out what I refer to as the big six.
610480	611640	I've sometimes referred to these
611640	614440	as the six major pillars of health,
614440	616280	both mental health and physical health,
616280	618480	as well as performance for that matter.
618480	620120	But if we're going to talk about tools
620120	621880	for mood and mental health,
621880	626240	we absolutely can't discard discussions about our biology.
626240	629000	That is, we need to make sure that we're taking care
629000	630960	of our normal biological function
630960	633880	and indeed enhancing the production
633880	636920	of specific neurotransmitters and neuromodulators
636920	638360	that we are optimizing.
638360	640240	Yes, I use the word optimizing.
640240	643400	The function of our so-called autonomic nervous system,
643400	644840	that aspect of our nervous system
644840	646880	that's humming in the background all the time.
646880	648160	It's operating unconsciously
648160	650720	to regulate our sleep-wake cycles.
650720	655720	It's regulating how well or poorly we react to things.
655760	659120	It's regulating how much dopamine, serotonin,
659120	661160	epinephrine, acetylcholine we're producing.
661160	663280	All of this stuff is humming in the background
663280	666000	and sets the stage for all the conscious work
666000	668080	that we might put to, for instance,
668080	671480	trying to understand what our life narrative is,
671480	674040	what our unconscious mind is doing,
674040	675880	what sorts of defenses am I producing,
675880	678160	all of the sort of high-level and directed work
678160	679960	that we're going to talk about a little bit later
679960	683240	exists on a background of autonomic function,
683240	686880	of neurotransmitter production, of hormone production,
686880	688360	not just testosterone and estrogen,
688360	691440	but things like cortisol, prolactin and on and on.
691440	693920	So it's important to understand that if our goal
693920	696320	is to be in the best possible mood
696320	697720	given our life circumstances
697720	700520	and to have the best possible mental health
700520	701880	given our life circumstances
701880	704240	and to improve our mood and mental health
704240	705680	consistently over time,
705680	708600	that we have to pay attention to what I'm referring to here
708600	712720	as the big six or the six pillars of mental health.
712720	714760	And those are, just to list them off,
714760	717040	then I'll go into a little bit more detail,
717080	721720	sleep, sunlight, although I'd like to modify sunlight
721720	722960	because based on some new data
722960	724480	that just came out a couple of weeks ago,
724480	728200	I'd like to now make that second pillar,
728200	731680	not sunlight, but light slash dark.
731680	733880	So we could even just think about it as a light,
733880	735360	when and how much light you get.
735360	739040	But what you'll soon learn is that how much dark you get
739040	740680	is also extremely important.
740680	745560	So we've got sleep, light, movement is the third,
745560	749320	nutrition, social connection, and stress control.
749320	752000	Now, these are topics that I've spoken about extensively
752000	754480	on previous Huberman Lab Podcast episodes.
754480	756240	So I don't want to go into a deep dive
756240	758760	of each of these six pillars right now,
758760	761560	but I am going to just give you a few highlights of each.
761560	763120	And then of course, we will provide links
763120	764280	in the show note captions
764280	766480	for which you can go on the deep dive if you like.
766480	767920	And I also would like to mention that
767920	770560	if you ever have questions about specific protocols
770560	772560	or tools and you're seeking those out
772560	775440	to our previous episodes or specific timestamps
775440	777400	of previous episodes of this podcast,
777400	780760	you can go to our newly revamped hubermanlab.com website
780760	782520	and put any topic of interest
782520	785320	or even several topics of interest into the search function.
785320	787760	And it will take you to the very specific timestamps
787760	791800	and other resources that provide information on those topics.
791800	794120	So I'm going to go into a few of the key bullet points
794120	795960	about each of the six pillars,
795960	798160	or what I also refer to as the big six
798160	800040	of self-care and mental health.
800040	804680	Again, this is a necessary list, but is not sufficient.
804680	809240	Again, necessary to do these things every 24 hours,
809240	811240	indeed, every 24 hours,
811240	813460	if you want to have the best possible mood
813460	817000	and mental health, but it is not sufficient.
817000	819760	That means you still need to do some of the other things
819760	821240	that we're going to talk about
821240	823240	in terms of directed approaches
823240	825200	at improving mood and mental health.
825200	827080	If you are to quote unquote,
827080	828800	optimize your mood and mental health,
828800	830160	or if you are, let's just say,
830160	833600	trying to constantly improve your mood and mental health.
833600	835160	But these are the necessary,
835160	838680	but not sufficient pillars of mental health.
838680	840520	So under the heading of sleep,
840520	841960	it's safe to say that most people need
841960	844920	between six to eight hours of sleep per night.
844920	846620	Some people can get away with five.
846620	848880	Some people need as much as nine or 10.
848880	852920	Certainly growing kids, babies, teenagers,
852920	855880	and those that are suffering from some sort of illness
855880	858680	are going to need more, as much as nine, 10,
858680	860980	maybe even 12 hours of sleep per night.
860980	863480	However, most people do well to get somewhere
863480	865920	between six and eight hours of sleep per night.
865920	867420	You're just going to have to experiment
867420	869800	and figure out what's best for you.
869800	870960	Now, one thing I heard recently,
870960	873320	so I can't claim this as an original idea,
873320	876460	but that I think is a really good way to think about sleep,
876460	879220	is that sleep, much like physical fitness,
879220	881920	is something that we have to constantly be working on.
881920	882840	It's not the sort of thing
882840	884560	where you can get a great night's sleep one night,
884560	885600	and then the next night,
885600	887480	just kind of let all the protocols go
887480	889400	and expect to get a great night's sleep.
889400	890600	You don't have to be neurotic
890600	891840	about getting a great night's sleep.
891840	893940	Indeed, I do believe that we should strive
893940	895880	to get enough quality sleep
895880	898160	as many of the nights of our life as possible,
898160	900320	and if you can't do that, hopefully it's for good reasons,
900320	902840	but of course, things happen in life, raising kids,
902840	905120	you have emergencies, all-nighters to study,
905120	907480	so you can make sure you get that best possible grade
907480	908900	on an exam, et cetera, et cetera,
908900	912060	but we should all strive to get the best quality sleep
912060	915340	that we can, and as much of it, most nights of our lives.
915340	917600	So it's important to look at sleep as a process
917600	918940	that you're going to be working on
918940	920940	for the rest of your life, just like fitness,
920940	922380	and I don't say that to overwhelm you,
922380	925360	I say that so that if on any given night
925360	926600	you get a poor night's sleep,
926600	928100	you don't stress that too much,
928100	929580	you just get right back on the wagon
929580	932180	and you try and get the best possible night's sleep
932180	934820	the next night and the next night and the next night,
934820	935820	much like fitness.
935820	937900	There's no 10-week program
937900	941580	that's going to transform your physical fitness forever,
941580	942980	just like there's no sleep program
942980	944600	that's going to transform your sleep forever.
944600	947520	It's a daily or rather, I should say, nightly investment,
947520	948360	although some of the things
948360	950800	that are going to positively impact your sleep
950800	952400	or perhaps damage your sleep
952400	953960	are things that you do during the daytime, right?
953960	955880	So avoid that caffeine too late in the day,
955880	957920	get that morning sunlight and on and on,
957920	959200	but view sleep as something
959200	961240	that you're constantly investing in,
961240	963660	and it is a critical investment
963660	965280	for your mood and mental health.
965280	966800	The other thing that's not often discussed,
966800	968680	and I really haven't talked about terribly much
968680	970360	on this podcast, is the importance
970360	973520	of having a fairly consistent sleep routine.
973520	976320	Now, I realize that not everybody can get to sleep
976320	977880	at the exact same time each night
977880	980040	and wake up at the exact same time each morning,
980040	982160	and frankly, that's not practical.
982160	983560	I certainly don't do that.
983560	987440	However, what we know from the circadian health literature
987440	989400	is that everybody should strive,
989400	991000	again, that's strive, nobody's perfect,
991000	992080	but strive to get to sleep
992080	994400	at more or less the same time each night
994400	997880	and wake up at more or less the same time each morning.
997880	999600	This turns out to be really important
999600	1002080	for regulating mood and mental health,
1002080	1005480	and indeed for improving your overall levels of sleep,
1005480	1008040	getting the optimal amounts of slow wave sleep,
1008040	1010520	aka deep sleep and rapid eye movement sleep.
1010520	1013000	And what we know is that ideally you're going to get
1013000	1016000	to sleep within plus or minus one hour
1016000	1017280	of your regular sleep time.
1017280	1019680	So if your regular two bed time is 10 o'clock,
1019680	1021120	you're used to getting in bed at 10 o'clock
1021120	1023640	and falling asleep somewhere around 10.30.
1023640	1026760	Well, then if the next night you fall asleep at 9.30, great.
1026760	1029080	You're still within the plus or minus one hour.
1029080	1031520	And if the next night you go to sleep
1031520	1034640	and you don't fall asleep till 11.30, don't sweat it.
1034640	1037360	In fact, you're still within that plus or minus one hour.
1037360	1039680	However, if you start getting into a habit
1039680	1041920	of going to bed at vastly different times,
1041920	1044120	deviating more than or less than one hour
1044120	1046320	from your normal to bed time,
1046320	1048280	well, then you're going to start to run into issues
1048280	1050080	such as waking up feeling groggy,
1050080	1052040	even if you got enough sleep.
1052040	1054000	So even if you slept the full eight hours
1054000	1055000	that you're used to getting,
1055000	1057080	people who go to sleep much later than they normally do
1057080	1058720	or much earlier than they normally do
1058720	1061840	start getting into kind of issues of mood regulation,
1061840	1063640	energy regulation, not just in the morning,
1063640	1064720	but in the afternoon.
1064720	1067440	Likewise, try and wake up at more or less the same time
1067440	1069520	each morning, plus or minus one hour.
1069520	1071240	That's really going to help you anchor
1071240	1072800	your overall sleep schedule.
1072800	1076040	And it's really going to help lead to predictability
1076040	1078520	of your overall levels of energy, mood
1078520	1080040	and focus throughout the day.
1080040	1082880	The second pillar in that big six is light.
1082880	1085480	And I used to refer to this as sunlight, right?
1085480	1087320	I'd say, and I'm going to say it again now,
1087320	1088920	although I've covered this in a lot more detail.
1088920	1092080	So again, just hitting the top contour critical elements,
1092920	1096040	try to view sunlight, that is with your eyes,
1096040	1099720	view sunlight as early as possible after waking.
1099720	1101760	Whenever I say that, the most common question I get is,
1101760	1103800	what do I do if I wake up before the sun comes out?
1103800	1106680	Well, unless you have superpowers that I'm not aware of,
1106680	1108440	you can't make the sun come out any earlier.
1108440	1111320	So just flip on artificial lights as needed
1111320	1114520	until the sun comes out and then get outside,
1114560	1117920	face east in the morning, take off those sunglasses.
1117920	1120600	It's perfectly safe to look at low solar angle sunlight
1120600	1123040	without sunglasses, providing you're not driving
1123040	1125120	into bright light and you crash, this kind of thing.
1125120	1127840	Get outside, look at the sunlight,
1127840	1130840	definitely blink to protect your eyes as needed,
1130840	1133480	but get that sunlight in your eyes early in the day.
1133480	1136600	This has myriad positive effects on mood focus
1136600	1139640	and alertness and nighttime sleep later that night.
1139640	1142520	And it does so through a number of well-defined biological
1142520	1144960	and endocrine hormonal pathways that I've discussed
1144960	1147280	on many previous podcast episodes.
1147280	1149920	And you want to do this for about 10 minutes
1149920	1153720	on non-overcast days and as long as 20 or 30 minutes
1153720	1155240	on overcast days.
1155240	1157560	And that highlights the second most common question I get,
1157560	1160120	which is, what do I do if there's no sun where I live?
1160120	1162040	I live in an area where there's no sunlight.
1162040	1165640	Look, if you live on planet earth, there's always sunlight.
1165640	1167000	There might not be very much of it.
1167000	1168840	That might be very overcast where you live.
1168840	1170320	It might seem very dark, but trust me,
1170320	1173080	there's far more photons, light energy coming
1173080	1174240	through that cloud cover,
1174240	1176880	even in the darkest mornings of winter,
1176880	1180800	than there are at night in those dark winters.
1180800	1182880	So get that light in your eyes
1182880	1184560	and do it as consistently as possible
1184560	1187040	and also do that in the late afternoon and evening.
1187040	1189640	That's critical for regulating your circadian clock
1189640	1191680	for reasons that I've talked about previously,
1191680	1193360	but I'll get into in a future podcast,
1193360	1195360	really explaining how those clock oscillators
1195360	1196640	and mechanisms work.
1196640	1197920	But just to keep it really simple,
1197920	1199640	since this is a toolkit episode
1199640	1201120	for mood and mental health,
1201120	1204920	your mood and your mental health will benefit tremendously
1204920	1206880	from getting morning sunlight in your eyes.
1206880	1209520	Now, if you need to get more light in your eyes,
1209520	1211680	because indeed there's just not enough sunlight
1211680	1214200	or you don't have the opportunity to get outside
1214200	1217360	and view sunlight in the morning for whatever reason,
1217360	1220840	you might invest in getting a bright light source
1220840	1221680	that you can plug in.
1221680	1224760	You probably want one that's as bright as 10,000 lux.
1224760	1226280	So that's pretty bright.
1226280	1228720	Those fall under the category of so-called SAD lamps,
1229200	1231240	seasonal effective disorder lamps.
1231240	1232480	And you can purchase those.
1232480	1234160	They can be somewhat expensive.
1234160	1237580	You can also opt to get a 900 lux drawing tablet.
1237580	1239240	By the way, I have no financial relationship
1239240	1241400	to any of these sorts of light sources,
1241400	1242960	but you can find them pretty easily.
1242960	1246560	And in the case of the 900 lux light tablet,
1246560	1248000	fairly inexpensively online.
1248000	1249380	And you can put that on your desk
1249380	1251640	or where you have your morning coffee
1251640	1253440	and try and enhance the total amount of light
1253440	1255200	that you're getting in the morning.
1255200	1257680	But frankly, nothing is as good as sunlight.
1257680	1258900	So if you can't get sunlight,
1258900	1261640	you might think about investing in one of those SAD lamps.
1261640	1264160	And indeed those SAD lamps aren't as good as sunlight,
1264160	1265480	but they are the next best thing
1265480	1268300	if you really can't get sunlight on a consistent basis.
1268300	1270760	A few other fine points that I always get asked about.
1270760	1273000	First of all, it is absolutely okay
1273000	1275400	to wear eyeglasses or contact lenses.
1275400	1276640	Those sorts of corrective lenses
1276640	1278360	are actually going to focus the light to your retina,
1278360	1279320	which is where you want it.
1279320	1282700	However, this whole process of viewing morning sunlight
1282700	1285240	in afternoon light does not, again,
1285240	1287680	does not work through a window or windshield
1287680	1289320	because windows and windshields
1289320	1291360	filter out the relevant wavelengths of light
1291360	1293680	that you want to get directly onto your retina.
1293680	1295800	Okay, so that's the reality of it.
1295800	1297360	In addition, please don't feel
1297360	1299120	that you have to look directly at the sun
1299120	1301080	and certainly don't stare at the sun.
1301080	1303040	Never force yourself to look at any light,
1303040	1304140	sunlight or otherwise,
1304140	1306440	that's so bright that it's painful to look at.
1306440	1309000	So if it's comfortable for you to look directly at the sun
1309000	1310200	and just blink every once in a while
1310200	1312300	and you can do that without any pain or discomfort
1312300	1314320	or watering of the eyes, please do that.
1314320	1316880	You're getting a lot of photons into your eyes
1316880	1318400	and they're transmitting that to your brain
1318400	1320920	and your brain to the rest of your body and on and on.
1320920	1322380	However, if you find it uncomfortable
1322380	1323720	to look directly at the sun,
1323720	1326560	in that case, what you'll want to do is offset your gaze
1326560	1328880	to 10 or 20 degrees, which is nerd speak
1328880	1330160	for just a little bit to the right
1330160	1331560	or a little bit to the left
1331560	1335000	and get the sunlight into your eyes indirectly.
1335000	1337480	Okay, and I often also get asked,
1337480	1339200	well, can I stand in the shade while I do this?
1339200	1341580	What if I have an overhang in my apartment?
1341580	1343400	The best thing is of course going to be
1343400	1344880	to face directly to the sun
1344880	1347480	and look either directly at it or slightly offset.
1347480	1349620	But if you can only get morning sunlight
1349620	1351160	by going out onto your balcony
1351160	1353960	and your balcony doesn't face east, rather it faces west,
1353960	1356320	you'll still get a lot of photons from the sun
1356320	1357480	reaching your eyes there.
1357480	1361960	But ideally you would find some way to look toward the sun
1361960	1363020	first thing in the morning.
1363020	1365180	I realized that with kids and work and other obligations,
1365180	1366180	this can be challenging,
1366180	1369580	but it is a challenge worth meeting.
1369580	1371320	Meaning don't lose your job
1371320	1373180	or forget to take care of your kids to do this,
1373180	1375180	but you can bring your kids to do this.
1375180	1378280	And indeed you should, it sets their circadian rhythms also.
1378280	1381660	And people often will ask, well, does it work on dogs?
1381660	1383940	You know, and indeed dogs and other animals
1383940	1385740	have these exact same circuits and pathways
1385740	1387200	for setting their circadian rhythm.
1387200	1388780	So it's great for them too.
1388780	1391520	Now there are also clear and documented benefits
1391520	1392620	for mood and mental health
1392620	1394020	to getting bright light in your eyes,
1394020	1396340	ideally from sunlight throughout the day,
1396340	1397600	as much as you safely can.
1397600	1399180	Please don't get sunburned,
1399180	1402500	don't get cataracts by getting too much sunlight,
1402500	1404580	but getting outdoors and getting sunlight in your eyes
1404580	1407140	during your lunch break or a walk here and there,
1407140	1410060	or if you have to remain indoors during the day,
1410060	1413280	getting the lights in that environment as bright as possible
1413280	1415120	as is safely possible, I should say,
1415120	1417800	is known to improve mood and mental health.
1417800	1418640	Why?
1418640	1421240	Well, because there's a special so-called opsin
1421240	1423900	within the cells of your eyes called melanopsin
1423900	1427580	that doesn't respond to the same differences in color
1427580	1430220	that are present in sunlight in the morning and the evening,
1430220	1433540	but rather responds to the overall brightness of light.
1433540	1436180	So very bright lights, either from artificial sources
1436180	1438660	or ideally from sunlight, activate these cells
1438660	1441180	and these cells project these little wires,
1441180	1443820	we call axons, into specific parts of the brain
1443820	1446980	that improve your mood and feelings of wellbeing.
1446980	1450660	So I can't give you a specific number
1450660	1452680	of five minutes a day or 10 minutes a day.
1452680	1454300	Just get as much light in your eyes,
1454300	1456260	ideally from sunlight throughout the day,
1456260	1457740	as is safe for you,
1457740	1459260	meaning where you're not getting sunburned
1459260	1460820	and you're not damaging your retina.
1460820	1463120	And if you want to know if you're damaging your retina,
1463120	1465820	well, anytime you have to blink or turn away from light
1465820	1466860	because it's really bright,
1466860	1468900	that's a signal that the light is too bright.
1468900	1471580	So while you want to place yourself into bright environments,
1471580	1473620	you don't want to place yourself into any environment
1473620	1475620	so bright that it's painful to be in.
1475620	1478460	Okay, so use that as a metric and you should be just fine.
1478460	1481060	And the last point about light for mood and mental health
1481060	1482900	is a relatively recent theme
1482900	1484860	that's emerging from the scientific literature
1484860	1487660	and that really was driven home by a recent study
1487660	1489260	that I mentioned a little bit earlier in the episode.
1489260	1491540	This is the study published in Nature Mental Health,
1491540	1494900	showing that darkness during a particular stage
1494900	1496460	of your 24 hour cycle,
1496460	1498260	your so-called circadian rhythm,
1498260	1502300	is also very beneficial for mood and mental health.
1502300	1504720	And it's beneficial for mood and mental health
1504720	1509060	in a way that is independent from light and from sleep.
1509060	1510260	Now, what do I mean by that?
1510260	1511940	Okay, well, there are a number of different ways
1511940	1513180	that this can be examined,
1513180	1516980	but in this particular study, which I like oh so much,
1516980	1519580	entitled Day and Night Light Exposure
1519580	1521980	are Associated with Psychiatric Disorders,
1521980	1525900	an objective light study in more than 85,000 people.
1525900	1530060	What the researchers did is they analyzed how much light
1530060	1533780	and or dark people were getting across the 24 hour cycle
1533780	1536860	and correlated that with mental health outcomes,
1536860	1539220	looking at a range of different mental health challenges,
1539220	1541900	including bipolar disorder, schizophrenia, depression,
1541900	1543820	PTSD, and much more.
1543820	1546300	And I'll go into this study in a lot of detail
1546300	1547220	in a future episode,
1547220	1548580	cause it's such an important study
1548580	1551180	with so many gems within it that we should all know about.
1551180	1553680	But one of the key things from this study
1553680	1558180	is that the positive effects of daytime sunlight exposure
1558180	1562340	and the positive effects of nighttime dark exposure,
1562340	1564940	that means of course the absence of light,
1564940	1567300	are independent of one another.
1567300	1570980	Put differently, making sure that you're in very dim
